Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.03     0.00       15     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_append<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::_Guard::_Guard(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long long, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      0.03     0.00       15     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_append<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)::_Guard::~_Guard()
  0.00      0.03     0.00       12     0.00     0.00  token* std::__niter_base<token*>(token*)
  0.00      0.03     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<token*, std::vector<token, std::allocator<token> > >::base() const
  0.00      0.03     0.00        8     0.00     0.00  std::_Vector_base<token, std::allocator<token> >::_M_get_Tp_allocator() const
  0.00      0.03     0.00        8     0.00     0.00  std::vector<token, std::allocator<token> >::max_size() const
  0.00      0.03     0.00        8     0.00     0.00  std::vector<token, std::allocator<token> >::_S_max_size(std::allocator<token> const&)
  0.00      0.03     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<token*, std::vector<token, std::allocator<token> > >::difference_type __gnu_cxx::operator-<token*, std::vector<token, std::allocator<token> > >(__gnu_cxx::__normal_iterator<token*, std::vector<token, std::allocator<token> > > const&, __gnu_cxx::__normal_iterator<token*, std::vector<token, std::allocator<token> > > const&)
  0.00      0.03     0.00        4     0.00     0.00  std::vector<token, std::allocator<token> >::_M_check_len(unsigned long long, char const*) const
  0.00      0.03     0.00        4     0.00     0.00  std::_Vector_base<token, std::allocator<token> >::_M_allocate(unsigned long long)
  0.00      0.03     0.00        4     0.00     0.00  std::__new_allocator<token>::deallocate(token*, unsigned long long)
  0.00      0.03     0.00        4     0.00     0.00  std::__new_allocator<token>::allocate(unsigned long long, void const*)
  0.00      0.03     0.00        4     0.00     0.00  std::vector<token, std::allocator<token> >::_S_relocate(token*, token*, token*, std::allocator<token>&)
  0.00      0.03     0.00        4     0.00     0.00  void std::vector<token, std::allocator<token> >::_M_realloc_append<token>(token&&)
  0.00      0.03     0.00        4     0.00     0.00  std::vector<token, std::allocator<token> >::begin()
  0.00      0.03     0.00        4     0.00     0.00  token* std::__relocate_a<token*, token*, std::allocator<token> >(token*, token*, token*, std::allocator<token>&)
  0.00      0.03     0.00        4     0.00     0.00  token* std::__to_address<token>(token*)
  0.00      0.03     0.00        4     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<token, void>::value, token*>::type std::__relocate_a_1<token, token>(token*, token*, token*, std::allocator<token>&)
  0.00      0.03     0.00        4     0.00     0.00  std::vector<token, std::allocator<token> >::_M_realloc_append<token>(token&&)::_Guard::_Guard(token*, unsigned long long, std::allocator<token>&)
  0.00      0.03     0.00        4     0.00     0.00  std::vector<token, std::allocator<token> >::_M_realloc_append<token>(token&&)::_Guard::~_Guard()
  0.00      0.03     0.00        3     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_deallocate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long long)
  0.00      0.03     0.00        2     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.03     0.00        2     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl::_Vector_impl()
